QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
188,"What is the following SQL command used for? 

Select * from table(validate(t1, job_id => '_last*));",D,To validate external table files in table t1 across all sessions,To validate task SQL statements against table t1 in the last 14 days,To validate a file for errors before it gets executed using a COPY command,To return errors from the last executed COPY command into table t1 in the current session,,,"-Validate returns errors from a previously executed COPY command\n
-COPY INTO with VALIDATION_MODE parameter checks for errors previous to actually loading the data\n
-VALIDATION_MODE = RETURN_n_ROWS | RETURN_ERRORS | RETURN_ALL_ERROR\n",https://docs.snowflake.com/en/sql-reference/functions/validate,,Data Transformations
189,Which command should be used to download files from a Snowflake stage to a local folder on a client's machine?,B,PUT,GET,COPY,SELECT,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/sql-reference/sql/get,,Data Transformations
190,Which of the following activities consume virtual warehouse credits in the Snowflake environment? (Choose two.),"D,E",Caching query results,Running EXPLAIN and SHOW commands,Cloning a database,Running a custom query,Running COPY commands,,"Caching query results = Query Result Cache\n
EXPLAIN/SHOW, Cloning = Metadata operations\n

A warehouse provides the required resources, such as CPU, memory, and temporary storage, to perform the following operations in a Snowflake session:\n
-Executing SQL SELECT statements that require compute resources (e.g. retrieving rows from tables and views).\n
-Performing DML operations, such as: Updating rows in tables (DELETE , INSERT , UPDATE).\n
-Loading data into tables (COPY INTO <table>).\n
-Unloading data from tables (COPY INTO <location>).\n

Note: To perform these operations, a warehouse must be running and in use for the session. While a warehouse is running, it consumes Snowflake credits.",https://docs.snowflake.com/en/user-guide/warehouses-considerations,,Performance Concepts
191,Data storage for individual tables can be monitored using which commands and/or objects? (Choose two.),"B,E",SHOW STORAGE BY TABLE;,SHOW TABLES;,Information Schema -> TABLE_HISTORY,Information Schema -> TABLE_FUNCTION,Information Schema -> TABLE_STORAGE_METRICS,,These two options will show bytes stored.,"https://docs.snowflake.com/en/user-guide/tables-storage-considerations#individual-table-storage, https://docs.snowflake.com/en/sql-reference/sql/show-tables, https://docs.snowflake.com/en/sql-reference/sql/show-tables",,"Performance Concepts, Data Transformations"
192,How should a virtual warehouse be configured if a user wants to ensure that additional multi-clusters are resumed with no delay?,C,Configure the warehouse to a size larger than generally required,Set the minimum and maximum clusters to autoscale,Use the standard warehouse scaling policy,Use the economy warehouse scaling policy,,,,https://docs.snowflake.com/en/user-guide/warehouses-multicluster#setting-the-scaling-policy-for-a-multi-cluster-warehouse,,Performance Concepts
193,What is the maximum total Continuous Data Protection (CDP) charges incurred for a temporary table?,D,30 days,7 days,48 hours,24 hours,,,"Temporary and Transient tables:\n
Time travel → 1 day = 24h\n
Failsafe → 0 (none)\n

The maximum total CDP charges incurred for a temporary table are 1 day (or less if the table is explicitly dropped or dropped as a result of terminating the session). During this period, Time Travel can be performed on the table.","https://docs.snowflake.com/en/user-guide/data-time-travel#data-retention-period, https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs#temporary-and-transient-tables, https://docs.snowflake.com/en/user-guide/tables-storage-considerations",,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
194,How can a row access policy be applied to a table or a view? (Choose two.),"B,E",Within the policy DDL,Within the create table or create view DDL,By future APPLY for all objects in a schema,Within a control table,Using the command ALTER < object> ADD ROW ACCESS POLICY <policy>;,,,https://docs.snowflake.com/en/user-guide/security-row-intro,,Data Protection and Data Sharing
195,How does Snowflake Fail-safe protect data in a permanent table?,C,"Fail-safe makes data available up to 1 day, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable only by Snowflake Support.","Fail-safe makes data available up to 1 day, recoverable only by Snowflake Support.",,,Fail-safe provides a (non-configurable) 7-day period during which historical data may be recoverable by Snowflake. This period starts immediately after the Time Travel retention period ends.,https://docs.snowflake.com/en/user-guide/data-failsafe#what-is-fail-safe,,Data Protection and Data Sharing
196,Which statement describes how Snowflake supports reader accounts?,D,A reader account can consume data from the provider account that created it and combine it with its own data.,A consumer needs to become a licensed Snowflake customer as data sharing is only supported between Snowflake accounts.,The users in a reader account can query data that has been shared with the reader account and can perform DML tasks.,The SHOW MANAGED ACCOUNTS command will view all the reader accounts that have been created for an account.,,,"SHOW MANAGED ACCOUNTS: Lists the managed accounts created for your account. Currently used by data providers to create reader accounts for their consumers.\n
To view all the reader accounts that have been created for your account, use the SHOW MANAGED ACCOUNTS command.\n
About option : A reader account can consume data from the provider account that created it and combine it with its own data.\n
Reader accounts (formerly known as “read-only accounts”) enable providers to share data with consumers who are not already Snowflake customers, without requiring the consumers to become Snowflake customers.\n
A reader account is intended primarily for querying data shared by the provider of the account. You can work with data, for example, by creating materialized views.\n
Set a data metric function on objects in the reader account.\n
Upload new data.\n
Modify existing data.\n
Unload data using a storage integration. However, you can use the COPY INTO <location> command with your connection credentials to unload data into a cloud storage location.\n

**Concept included in test from Sept 2024","https://docs.snowflake.com/en/user-guide/data-sharing-reader-create, https://docs.snowflake.com/en/sql-reference/sql/show-managed-accounts, https://docs.snowflake.com/en/user-guide/data-sharing-reader-create#viewing-reader-accounts",,"Data Protection and Data Sharing, Data Transformations"
197,"What happens to the shared objects for users in a consumer account from a share, once a database has been created in that account?",C,The shared objects are transferred.,The shared objects are copied.,The shared objects become accessible.,The shared objects can be re-shared,,,"Once a database is created (in a consumer account) from a share, all the shared objects are accessible to users in the consumer account.",https://docs.snowflake.com/en/user-guide/data-sharing-provider,,Data Protection and Data Sharing
198,What privilege should a user be granted to change permissions for new objects in a managed access schema?,A,Grant the OWNERSHIP privilege on the schema.,Grant the OWNERSHIP privilege on the database.,Grant the MANAGE GRANTS global privilege.,Grant ALL privileges on the schema.,,,,https://docs.snowflake.com/en/sql-reference/sql/grant-privilege#access-control-requirements,,Data Transformations
199,Which data type can store more than one type of data structure?,D,JSON,BINARY,VARCHAR,VARIANT,,,,https://docs.snowflake.com/en/sql-reference/data-types-semistructured#variant,,Data Transformations
200,What is true about sharing data in Snowflake? (Choose two.),"C,E",The Data Consumer pays for data storage as well as for data computing.,"The shared data is copied into the Data Consumer account, so the Consumer can modify it without impacting the base data of the Provider.",A Snowflake account can both provide and consume shared data.,The Provider is charged for compute resources used by the Data Consumer to query the shared data.,The Data Consumer pays only for compute resources to query the shared data.,,"With Secure Data Sharing, no actual data is copied or transferred between accounts. The only charges to consumers are for the compute resources (i.e. virtual warehouses) used to query the shared data.\n

Any full Snowflake account can both provide and consume shared data.",https://docs.snowflake.com/en/user-guide/data-sharing-intro#how-does-secure-data-sharing-work,,Data Protection and Data Sharing
201,What is the minimum Snowflake edition needed for database failover and failback between Snowflake accounts for business continuity and disaster recovery?,C,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,,,https://docs.snowflake.com/en/user-guide/intro-editions#business-critical-edition,,Snowflake AI Data Cloud Features and Architecture
202,Credit charges for Snowflake virtual warehouses are calculated based on which of the following considerations? (Choose two.),"C,D",The number of queries executed,The number of active users assigned to the warehouse,The size of the virtual warehouse,The length of time the warehouse is running,The duration of the queries that are executed,,"Snowflake credits are charged based on the number of virtual warehouses you use, how long they run, and their size.",https://docs.snowflake.com/en/user-guide/warehouses-considerations#how-are-credits-charged-for-warehouses,,Performance Concepts
203,Which statement MOST accurately describes clustering in Snowflake?,B,The database ACCOUNTADMIN must define the clustering methodology for each Snowflake table.,Clustering is the way data is grouped together and stored within Snowflake micro-partitions.,The clustering key must be included in the COPY command when loading data into Snowflake.,Clustering can be disabled within a Snowflake account.,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,Performance Concepts
204,What is the maximum Time Travel retention period for a temporary Snowflake table?,B,90 days,1 day,7 days,45 days,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/user-guide/data-time-travel#data-retention-period,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
205,Which methods can be used to delete staged files from a Snowflake stage? (Choose two.),"C,D",Use the DROP <file> command after the load completes.,Specify the TEMPORARY option when creating the file format.,Specify the PURGE copy option in the COPY INTO <table> command.,Use the REMOVE command after the load completes.,Use the DELETE LOAD HISTORY command after the load completes.,,,"https://docs.snowflake.com/en/user-guide/data-load-local-file-system-copy#managing-data-files, https://docs.snowflake.com/en/sql-reference/sql/remove, https://docs.snowflake.com/en/sql-reference/sql/copy-into-table#purging-files-after-loading,",,"Data Loading and Unloading, Data Transformations"
206,"In the Snowflake access control model, which entity owns an object by default?",D,The user who created the object,The SYSADMIN role,Ownership depends on the type of object,The role used to create the object,,,"To own an object means that a role has the OWNERSHIP privilege on the object. Each securable object is owned by a single role, which by default is the role used to create the object.",https://docs.snowflake.com/en/user-guide/security-access-control-overview#securable-objects,,Account Access and Security
207,Which Snowflake SQL statement would be used to determine which users and roles have access to a role called MY ROLE?,A,SHOW GRANTS OF ROLE MY_ROLE,SHOW GRANTS TO ROLE MY_ROLE,SHOW GRANTS FOR ROLE MY_ROLE,SHOW GRANTS ON ROLE MY_ROLE,,,"OF = Lists all users and roles to which the role has been granted.\n
TO = Lists all privileges and roles granted to the role. If the role has a grant on a temporary object, then the grant only exists in the session that the temporary object was created.\n
ON = Lists all privileges that have been granted on the object.\n
FOR = Not a SHOW GRANT variant",https://docs.snowflake.com/en/sql-reference/sql/show-grants,,Data Transformations
208,How many resource monitors can be assigned at the account level?,A,1,2,3,4,,,A single monitor can be set at the account level to control credit usage for all warehouses in your account. Additional resource monitors might be assigned on the Warehouse level (to a single or a group of Warehouses),"https://docs.snowflake.com/en/user-guide/resource-monitors#assignment-of-resource-monitors, https://docs.snowflake.com/en/user-guide/resource-monitors#monitor-level",,Performance Concepts
209,What affects whether the query results cache can be used?,C,If the query contains a deterministic function,If the virtual warehouse has been suspended,If the referenced data in the table has changed,If multiple users are using the same virtual warehouse,,,"Result Cache: Which holds the results of every query executed in the past 24 hours. These are available across virtual warehouses, so query results returned to one user is available to any other user on the system who executes the same query, provided the underlying data has not changed.",https://docs.snowflake.com/en/user-guide/querying-persisted-results,,Performance Concepts
210,Where is Snowflake metadata stored?,C,Within the data files,In the virtual warehouse layer,In the cloud services layer,In the remote storage layer,,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
211,Which of the following describes the Snowflake Cloud Services layer?,A,Coordinates activities in the Snowflake account,Executes queries submitted by the Snowflake account users,Manages quotas on the Snowflake account storage,Manages the virtual warehouse cache to speed up queries,,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services,,Snowflake AI Data Cloud Features and Architecture
212,Which TABLE function helps to convert semi-structured data to a relational representation?,C,CHECK_JSON,TO_JSON,FLATTEN,PARSE_JSON,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/sql-reference/functions/flatten,,Data Transformations
213,Which privilege must be granted to a share to allow secure views the ability to reference data in multiple databases?,D,CREATE_SHARE on the account,SHARE on databases and schemas,SELECT on tables used by the secure view,REFERENCE_USAGE on databases,,,,"https://docs.snowflake.com/en/sql-reference/sql/grant-privilege-share#usage-notes, https://docs.snowflake.com/en/user-guide/data-sharing-mutiple-db",,"Data Transformations, Data Protection and Data Sharing"
214,Network policies can be set at which Snowflake levels? (Choose two.),"C,E",Role,Schema,User,Database,Account,Tables,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/user-guide/network-policies#activating-a-network-policy,,Account Access and Security
215,Which of the following describes a Snowflake stored procedure?,D,They can be created as secure and hide the underlying metadata from the user.,They can only access tables from a single database.,They can contain only a single SQL statement.,They can be created to run with a caller's rights or an owner's rights.,,,,https://docs.snowflake.com/en/developer-guide/stored-procedure/stored-procedures-overview#what-is-a-stored-procedure,,Data Transformations
216,"A user has a standard multi-cluster warehouse auto-scaling policy in place. 

Which condition will trigger a cluster to shut-down?",D,When after 2-3 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.,When after 5-6 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.,When after 5-6 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.,When after 2-3 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.,,,For an economy multi-cluster Warehouse it's 5-6 consecutive scans,https://docs.snowflake.com/en/user-guide/warehouses-multicluster#setting-the-scaling-policy-for-a-multi-cluster-warehouse,,Performance Concepts
217,Which of the following statements describe features of Snowflake data caching? (Choose two.),"B,E","When a virtual warehouse is suspended, the data cache is saved on the remote storage layer.","When the data cache is full, the least-recently used data will be cleared to make room.",A user can only access their own queries from the query result cache.,A user must set USE_METADATA_CACHE to TRUE to use the metadata cache in queries.,The RESULT_SCAN table function can access and filter the contents of the query result cache.,,"When the data cache is full, the least-recently used data will be cleared to make room is CORRECT because Snowflake automatically manages its data cache and evicts the least-recently used data when the cache becomes full.\n

The RESULT_SCAN table function can access and filter the contents of the query result cache is CORRECT because the RESULT_SCAN table function can be used to query and filter the data that has been cached in the query result cache.\n

When a virtual warehouse is suspended, the data cache is saved on the remote storage layer is INCORRECT because when a virtual warehouse is suspended, the data cache is not saved on the remote storage layer. The data cache is cleared when a virtual warehouse is suspended and any data that needs to be cached is reloaded from the remote storage layer when the virtual warehouse is resumed.\n

A user can only access their own queries from the query result cache is INCORRECT because the query result cache is a shared cache and all users can access the data that has been cached. There are no restrictions based on user access.\n

Option A user must set USE_METADATA_CACHE to TRUE to use the metadata cache in queries is INCORRECT because the metadata cache is used by default in queries and there is no need for a user to explicitly set USE_METADATA_CACHE to TRUE.","https://docs.snowflake.com/en/user-guide/warehouses-considerations#how-does-warehouse-caching-impact-queries, https://docs.snowflake.com/en/user-guide/querying-persisted-results, https://docs.snowflake.com/en/user-guide/performance-query-warehouse-cache",,Performance Concepts
218,Which parameter can be used to instruct a COPY command to verify data files instead of loading them into a specified table?,D,STRIP_NULL_VALUES,SKIP_BYTE_ORDER_MARK,REPLACE_INVALID_CHARACTERS,VALIDATION_ MODE,,,VALIDATION_MODE: This instructs the command to validate the data files instead of loading them into target tables and allows you to perform the dry run to ensure the fail-safe delivery of data.,https://docs.snowflake.com/en/sql-reference/sql/copy-into-table#optional-parameters,,Data Transformations
219,"By default, which Snowflake role is required to create a share?",D,ORGADMIN,SECURITYADMIN,SHAREADMIN,ACCOUNTADMIN,,,CREATE SHARE: Account :Only the ACCOUNTADMIN role has this privilege by default. The privilege can be granted to additional roles as needed.,https://docs.snowflake.com/en/sql-reference/sql/create-share#access-control-requirements,,"Data Transformations, Data Protection and Data Sharing"
220,Which query profile statistics help determine if efficient pruning is occurring? (Choose two.),"C,E",Bytes sent over network,Percentage scanned from cache,Partitions total,Bytes spilled to local storage,Partitions scanned,,"The fewer Partitions are scanned, compared to the total, the better the pruning\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/ui-snowsight-activity#statistics,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
221,"If a size Small virtual warehouse is made up of two servers, how many servers make up a Large warehouse?",B,4,8,16,32,,,,https://docs.snowflake.com/en/user-guide/warehouses-overview#warehouse-size,,Performance Concepts
222,The Snowflake Search Optimization Services supports improved performance of which kind of query?,C,Queries against large tables where frequent DML occurs,Queries against tables larger than 1 TB,Selective point lookup queries,Queries against a subset of columns in a table,,,"SELECT.. FROM.. WHERE <cloumn_value> = .. (equality predicate)\n
SELECT.. FROM.. WHERE < column_value> IN (...) (in predicate)\n
Keyword ""selective""\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/search-optimization-service,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
223,"A data provider wants to share data with a consumer who does not have a Snowflake account. The provider creates a reader account for the consumer following these steps: 
1. Created a user called ""CONSUMER""
2. Created a database to hold the share and an extra-small warehouse to query the data
3. Granted the role PUBLIC the following privileges: Usage on the warehouse, database, and schema, and SELECT on all the objects in the share 

Based on this configuration what is true of the reader account?",B,The reader account will automatically use the Standard edition of Snowflake.,The reader account compute will be billed to the provider account.,"The reader account can clone data the provider has shared, but cannot re-share it.",The reader account can create a copy of the shared data using CREATE TABLE AS..,,,"Compute and storage will be billed to the provider, as the reader account is not a Snowflake customer",https://docs.snowflake.com/en/user-guide/data-sharing-reader-create,,Data Protection and Data Sharing
224,Which commands should be used to grant the privilege allowing a role to select data from all current tables and any tables that will be created later in a schema? (Choose two.),"C,D",grant USAGE on all tables in schema DB1.SCHEMA to role MYROLE;,grant USAGE on future tables in schema DB1.SCHEMA to role MYROLE;,grant SELECT on all tables in schema DB1.SCHEMA to role MYROLE;,grant SELECT on future tables in schema DB1.SCHEMA to role MYROLE;,grant SELECT on all tables in database DB1 to role MYROLE;,grant SELECT on future tables in database DB1 to role MYROLE;,,https://docs.snowflake.com/en/sql-reference/sql/grant-privilege#roles,,Data Transformations
225,"A user has unloaded data from a Snowflake table to an external stage. 

Which command can be used to verify if data has been uploaded to the external stage named my _stage?",B,view @my_stage,list @my_stage,show @my_stage,display @my_stage,,,LIST or LS can be used to list the files in a stage,https://docs.snowflake.com/en/user-guide/data-unload-snowflake#unloading-data-to-the-named-stage,,Data Loading and Unloading
226,Which of the following is the Snowflake Account_Usage.Metering_History view used for?,A,Gathering the hourly credit usage for an account,Compiling an account's average cloud services cost over the previous month,Summarizing the throughput of Snowpipe costs for an account,Calculating the funds left on an account's contract,,,The METERING_HISTORY view in the ACCOUNT_USAGE schema can be used to return the hourly credit usage for an account within the last 365 days (1 year).,https://docs.snowflake.com/en/sql-reference/account-usage/metering_history,,Data Transformations
227,"User INQUISITIVE_PERSON has been granted the role DATA_SCIENCE. The role DATA_SCIENCE has privileges OWNERSHIP on the schema MARKETING of the database ANALYTICS_DW. 

Which command will show all privileges granted to that schema?",B,SHOW GRANTS ON ROLE DATA_SCIENCE,SHOW GRANTS ON SCHEMA ANALYTICS_DW.MARKETING,SHOW GRANTS TO USER INQUISITIVE_PERSON,SHOW GRANTS OF ROLE DATA_SCIENCE,,,,https://docs.snowflake.com/en/sql-reference/sql/show-grants#variants,,Data Transformations
228,When should a multi-cluster warehouse be used in auto-scaling mode?,A,When it is unknown how much compute power is needed,If the select statement contains a large number of temporary tables or Common Table Expressions (CTEs),If the runtime of the executed query is very slow,When a large number of concurrent queries are run on the same warehouse,,,"Scale Out for concurrency → Multi-Cluster Warehouses + auto-scaling\n
Scale UP for complexity → Increasing size of a Warehouse\n
If known consistent large number of concurrent queries, use Maximized\n
If unknown, auto-scale dynamically manages the load to support\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/warehouses-multicluster#maximized-vs-auto-scale,,Performance Concepts
229,Which of the following are considerations when using a directory table when working with unstructured data? (Choose two.),"B,D",A directory table is a separate database object.,Directory tables store data file metadata.,A directory table will be automatically added to a stage.,Directory tables do not have their own grantable privileges.,Directory table data can not be refreshed manually.,,"Directory Table\n
-External & internal stages (= Named Stages)\n
-Stores catalog of files in the stage\n
-NOT a securable, separate object\n
-NOT on Table Stages & User Stages\n
-Directory = (enable = true)\n
-Columns: Relative_path / File_URL / Size / Last_Modified / MD5 / ETAG\n
-Auto-Refresh with Notification service of cloud provider auto_refresh = true\n
-Manual refresh Alter Stage @stage_name Refresh;\n
-0.06 credits per 1000 notifications (or overhead for manual refreshes)\n
-STAGE_DIRECTORY_FILE_REGISTRATION_HISTORY Metadata history\n

**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage,,Data Loading and Unloading
230,Which statements reflect key functionalities of a Snowflake Data Exchange? (Choose two.),"B,E","If an account is enrolled with a Data Exchange, it will lose its access to the Snowflake Marketplace.",A Data Exchange allows groups of accounts to share data privately among the accounts.,"A Data Exchange allows accounts to share data with third, non-Snowflake parties.",Data Exchange functionality is available by default in accounts using the Enterprise edition or higher.,The sharing of data in a Data Exchange is bidirectional. An account can be a provider for some datasets and a consumer for others.,,"Data Exchange is NOT enabled for all accounts; contacting support may be necessary\n
Snowflake Marketplace and Data Exchange can both be used; consumers can switch between the Snowflake Marketplace and the Data Exchange\n
All parties must be Snowflake accounts for Data Exchange\n
Data Exchange Admin can designate the other accounts as providers, consumers, or both\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/data-exchange,,Data Protection and Data Sharing
231,What occurs when a pipe is recreated using the CREATE OR REPLACE PIPE command?,A,The Pipe load history is reset to empty.,The REFRESH command is executed.,The stage will be purged.,The destination table is truncated.,,,Might cause data to be loaded twice,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-manage#label-snowpipe-management-recreate-pipes,,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture"
232,Which statement describes pruning?,A,The filtering or disregarding of micro-partitions that are not needed to return a query.,The return of micro-partitions values that overlap with each other to reduce a query's runtime.,A service that is handled by the Snowflake Cloud Services layer to optimize caching.,The ability to allow the result of a query to be accessed as if it were a table.,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#query-pruning,,Performance Concepts
233,Which statements are true concerning Snowflake's underlying cloud infrastructure? (Select three.),"D,E,F",Snowflake data and services are deployed in a single availability zone within a cloud provider's region.,"Snowflake data and services are available in a single cloud provider and a single region, the use of multiple cloud providers is not supported.",Snowflake can be deployed in a customer's private cloud using the customer's own compute and storage resources for Snowflake compute and storage,Snowflake uses the core compute and storage services of each cloud provider for its own compute and storage,"All three layers of Snowflake's architecture (storage, compute, and cloud services) are deployed and managed entirely on a selected cloud platform",Snowflake data and services are deployed in at least three availability zones within a cloud provider's region,"Each account is deployed in a specific region and a specific cloud provider (AWS/AZURE/GCP)\n
High availability is achieved by leveraging multiple availability zones (eg.data centers) within the chosen region",https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
234,"A Snowflake user executed a query and received the results. Another user executed the same query 4 hours later. The data had not changed. 

What will occur?",A,"No virtual warehouse will be used, data will be read from the result cache.","No virtual warehouse will be used, data will be read from the local disk cache.",The default virtual warehouse will be used to read all data.,The virtual warehouse that is defined at the session level will be used to read all data.,,,"Same query, same data, less than 24h since last run → Query Result Cache",https://docs.snowflake.com/en/user-guide/querying-persisted-results#retrieval-optimization,,Performance Concepts
235,How long is the Fail-safe period for temporary and transient tables?,A,There is no Fail-safe period for these tables.,1 day,7 days,31 days,90 days,,,"https://docs.snowflake.com/user-guide/data-cdp-storage-costs#temporary-and-transient-tables, https://docs.snowflake.com/en/user-guide/tables-temp-transient",,"Performance Concepts, Data Protection and Data Sharing"
236,Using variables in Snowflake is denoted by using which SQL character?,C,@,&,$,#,,,"To distinguish variables from bind values and column names, all variables must be prefixed with a $ sign\n

Example:\n
SET (MIN, MAX)=(40, 70);\n
SELECT AVG(SALARY) FROM EMP WHERE AGE BETWEEN $MIN AND $MAX;",https://docs.snowflake.com/en/sql-reference/session-variables#using-variables-in-sql,,Data Transformations
237,Which of the following is a data tokenization integration partner?,A,Protegrity,Tableau,DBeaver,SAP,,,,https://docs.snowflake.com/en/user-guide/security-column-ext-token-use#external-tokenization-partner-integrations,,Data Protection and Data Sharing
238,How many days is load history for Snowpipe retained?,C,1 day,7 days,14 days,64 days,,,"COPY INTO - Stored in the metadata of the target table for 64 days\n

SNOWPIPE - Stored in the metadata of the pipe for 14 days",https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro#load-history,,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture"
239,"When loading data into Snowflake, how should the data be organized?",A,Into single files with 100-250 MB of compressed data per file,Into single files with 1-100 MB of compressed data per file,Into files of maximum size of 1 GB of compressed data per file,Into files of maximum size of 4 GB of compressed data per file,,,,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#general-file-sizing-recommendations,,Data Loading and Unloading
240,What is the default file size when unloading data from Snowflake using the COPY command?,C,5 MB,8 GB,16 MB,32 MB,,,"-File size can be set with parameter MAX_FILE_SIZE\n
-16 MB is default\n
-Max FIle size is 5 GB\n
-To unload data to a single output file (at the potential cost of decreased performance), specify the SINGLE = true copy option in the statement\n
\n
copy into @mystage/myfile.csv.gz from mytable\n
file_format = (type=csv compression='gzip')\n
single=true\n
max_file_size=4900000000;\n
\n
By default, COPY INTO location statements separate table data into a set of output files to take advantage of parallel operations. The maximum size for each file is set using the MAX_FILE_SIZE copy option. The default value is 16777216 (16 MB) but can be increased to accommodate larger files.",https://docs.snowflake.com/en/user-guide/data-unload-considerations#unloading-to-a-single-file,,Data Loading and Unloading
241,What are the responsibilities of Snowflake's Cloud Service layer? (Choose three.),"A,B,D",Authentication,Resource management,Virtual warehouse caching,Query parsing and optimization,Query execution,Physical storage of micro-partitions,"Virtual warehouse caching + Query execution = Compute Layer\n
Physical storage of micro-partitions = Storage Layer\n

The cloud services layer is a collection of services that coordinate activities across Snowflake. These services tie together all of the different components of Snowflake in order to process user requests, from login to query dispatch. The cloud services layer also runs on compute instances provisioned by Snowflake from the cloud provider.\n

Services managed in this layer include:\n
Authentication\n
Infrastructure management\n
Metadata management\n
Query parsing and optimization\n
Access control","https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services, https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture",,Snowflake AI Data Cloud Features and Architecture
242,Which of the following significantly improves the performance of selective point lookup queries on a table?,D,Clustering,Materialized Views,Zero-copy Cloning,Search Optimization Service,,,"Equality predicates\n
IN predicates\n
Enterprise+ feature\n
Serverless\n
Compute + Storage costs (Search Access Path)\n

The search optimization service aims to significantly improve the performance of certain types of queries on tables, including: Selective point lookup queries on tables.\n

A point lookup query returns only one or a small number of distinct rows.",https://docs.snowflake.com/en/user-guide/search-optimization-service#understanding-the-search-optimization-service,,"Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
243,"Files have been uploaded to a Snowflake internal stage. The files now need to be deleted. 

Which SQL command should be used to delete the files?",C,PURGE,MODIFY,REMOVE,DELETE,,,"PURGE option is part of the copy command\n
REMOVE is used after the load has been completed\n
DELETE is table rows\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/sql-reference/sql/remove,,Data Transformations
244,"For non-materialized views, what column in Information Schema and Account Usage identifies whether a view is secure or not?",B,CHECK_OPTION,IS_SECURE,IS_UPDATEABLE,TABLE_NAME,,,,https://docs.snowflake.com/en/user-guide/views-secure#determining-if-a-view-is-secure,,"Data Protection and Data Sharing, Performance Concepts"
245,What is the purpose of multi-cluster virtual warehouses?,C,To create separate data warehouses to increase query optimization,To allow users the ability to choose the type of compute nodes that make up a virtual warehouse cluster,To eliminate or reduce Queuing of concurrent queries,To allow the warehouse to resize automatically,,,"To enable fully automated scaling for concurrency, Snowflake recommends multi-cluster warehouses, which provide essentially the same benefits as creating additional warehouses and redirecting queries, but without requiring manual intervention.","https://docs.snowflake.com/en/user-guide/warehouses-multicluster, https://docs.snowflake.com/en/user-guide/warehouses-overview#query-processing-and-concurrency",,Performance Concepts
246,How would a user run a multi-cluster warehouse in maximized mode?,C,"Configure the maximum clusters setting to ""Maximum.""",Turn on the additional clusters manually after starting the warehouse.,Set the minimum Clusters and maximum Clusters settings to the same value.,Set the minimum clusters and maximum clusters settings to different values.,,,"If min=max, there is no room for increasing any clusters and min and max would be same. Hence same value for maximized mode.\n

There is no auto-scaling (scale out / scale in) in this case",https://docs.snowflake.com/en/user-guide/warehouses-multicluster#maximized-vs-auto-scale,,Performance Concepts
247,Why does Snowflake recommend file sizes of 100-250 MB compressed when loading data?,D,Optimizes the virtual warehouse size and multi-cluster setting to economy mode,Allows a user to import the files in a sequential order,Increases the latency staging and accuracy when loading the data,Allows optimization of parallel operations,,,,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#general-file-sizing-recommendations,,Data Loading and Unloading
